,Unnamed: 0.1,Unnamed: 0,Trip,total_distance,timestamp,longitude_min,latitude_min,longitude_max,latitude_max,start_lat,end_lat,start_long,end_long,start_altitude,end_altitude,slope,delta_altitude
277,277,277,1963,6552.752231810433,584600,-83.8011213889,42.2780283333,-83.74792,42.2854086111,42.2795880556,42.2853605556,-83.74792,-83.8011213889,256.642974854,283.358886719,0.04077085927152541,26.71591186500001
278,278,278,1969,12509.772264413426,1194400,-83.7511838889,42.2413758333,-83.7273972222,42.2869794444,42.2869794444,42.2449547222,-83.7436408333,-83.727485,242.5206604,251.973129272,0.007556070063157402,9.452468871999997
279,279,279,1970,3581.230929933989,118500,-83.7434880556,42.2436772222,-83.7274988889,42.24524,42.2436772222,42.24524,-83.7434880556,-83.7275383333,262.060516357,251.789352417,-0.02868065864823151,-10.27116393999998
280,280,280,1972,3724.8935145630726,180900,-83.7330816667,42.2568766667,-83.7273152778,42.2606888889,42.2568766667,42.2605958333,-83.7273152778,-83.7330816667,254.494735718,252.943069458,-0.004165666450764531,-1.5516662599999904
281,281,281,1984,20713.54463223274,1010600,-83.7212408333,42.2447069444,-83.6768475,42.3068275,42.3068275,42.2493483333,-83.6768491667,-83.7212408333,269.029907227,260.072814941,-0.004324268628324693,-8.957092286000034
282,282,282,1996,7388.455569579919,522400,-83.7484011111,42.2779333333,-83.7029775,42.2948719444,42.2781044444,42.2948719444,-83.7484011111,-83.7044875,256.471618652,258.380401611,0.0025834668757539724,1.908782959000007
283,283,283,1997,4310.966221098758,78500,-83.7347358333,42.2441294444,-83.7275347222,42.2475194444,42.2441294444,42.2475194444,-83.7347358333,-83.7275347222,257.105010986,250.797775269,-0.0146306933157424,-6.307235717000026
284,284,284,1998,367.2963739889038,90600,-83.7252461111,42.2424727778,-83.7249441667,42.2456777778,42.2456777778,42.2424727778,-83.72495,-83.7252461111,249.438964844,250.463180542,0.027885374118710306,1.0242156980000061
285,285,285,2002,9189.969634169303,580100,-83.7433325,42.2867530556,-83.7032430556,42.2945794444,42.2867530556,42.2945794444,-83.7433325,-83.7047025,243.824493408,257.866027832,0.015279213504764967,14.041534423999991
286,286,286,2006,8490.231002683255,78900,-83.8011033333,42.2831533333,-83.7881355556,42.2855563889,42.2831533333,42.2852708333,-83.7881355556,-83.8011033333,291.482025146,283.096038818,-0.009877222911853894,-8.385986328000001
287,287,287,2007,9256.212609081142,880100,-83.8019525,42.2279183333,-83.7277575,42.2849486111,42.2849486111,42.2445713889,-83.8019525,-83.7277575,282.817901611,252.298553467,-0.032971924185077016,-30.51934814400002
288,288,288,2010,4693.4297455337255,341600,-83.7569230556,42.2506113889,-83.7494766667,42.2726961111,42.2506113889,42.2726961111,-83.7569230556,-83.7494766667,273.843444824,251.709747314,-0.04715942250470972,-22.13369751000002
289,289,289,2011,5001.660783105895,121200,-83.7765341667,42.2741597222,-83.7588111111,42.2776891667,42.2741597222,42.2776891667,-83.7765341667,-83.7588111111,285.101776123,260.449615479,-0.04928854865656156,-24.65216064399999
290,290,290,2013,11216.46406496761,700400,-83.7272511111,42.2531591667,-83.675955,42.3090169444,42.2607419444,42.3090169444,-83.7272511111,-83.677905,258.625274658,275.232666016,0.014806278935721978,16.607391357999973
291,291,291,2014,8681.65362901095,745900,-83.7243061111,42.2549877778,-83.6760566667,42.3093427778,42.3093427778,42.2562,-83.6773258333,-83.7239,276.453308105,259.963409424,-0.01899399484370724,-16.489898681
292,292,292,2019,10951.306319107534,555500,-83.7476511111,42.2781433333,-83.7032044444,42.2951319444,42.2782994444,42.2951319444,-83.7476511111,-83.7046569444,257.884521484,258.52734375,0.0005869822725950363,0.642822265999996
293,293,293,2021,12160.052009928297,714800,-83.7321827778,42.2865316667,-83.6774713889,42.3092827778,42.3092827778,42.2865316667,-83.6774713889,-83.7321827778,276.335266113,239.903488159,-0.029960350032893827,-36.43177795399998
294,294,294,2025,17933.212549312768,512800,-83.7813152778,42.2982872222,-83.6773319444,42.3238436111,42.3094,42.3070952778,-83.6773319444,-83.7813152778,276.337127686,286.965759277,0.005926787199182901,10.628631591000044
295,295,295,2029,10367.697057830135,633200,-83.7480155556,42.28033,-83.70288,42.2950480556,42.2804802778,42.2950480556,-83.7480155556,-83.7045111111,256.086120605,258.460266113,0.002289944967532786,2.3741455079999696
